"","cod","year","muni.x","uf","voto","reg","metro","population","gdppc","real_gdp","homicide","metro.NA","muni.y"
"185",1101757,2014,"vale do anari","RO",47.77,"Norte",NA,9633,10962.35,125708.54,83.04785633,0,"Vale do Anari"
"186",1101757,2018,"vale do anari","RO",32.39,"Norte",NA,10999,12101.06,119930.86,45.45867806,0,"Vale do Anari"
"187",1101807,2006,"vale do paraiso","RO",45.437,"Norte",NA,10441,5343.54946844172,120629.6,9.577626664,0,"Vale do Paraiso"
"188",1101807,2010,"vale do paraiso","RO",45.598,"Norte",NA,9008,9474.80017761989,138322.37,22.20248668,0,"Vale do Paraiso"
"189",1101807,2014,"vale do paraiso","RO",49.79,"Norte",NA,7961,12049.56,114193.59,0,0,"Vale do Paraiso"
"190",1101807,2018,"vale do paraiso","RO",34.98,"Norte",NA,8138,16030.46,117548.46,12.28803146,0,"Vale do Paraiso"
"191",1200013,2006,"acrelandia","AC",44.351,"Norte",NA,10668,5546.96287964004,127944.09,9.373828271,0,"Acrelândia"
"192",1200013,2010,"acrelandia","AC",24.89,"Norte",NA,11987,7383.99933261033,143448.54,0,0,"Acrelândia"
"193",1200013,2014,"acrelandia","AC",35.16,"Norte",NA,13011,12466.28,193085.23,7.685804319,0,"Acrelândia"
"194",1200013,2018,"acrelandia","AC",20.11,"Norte",NA,14120,16119.75,205090.77,49.57507082,0,"Acrelândia"
"195",1200054,2006,"assis brasil","AC",54.178,"Norte",NA,4852,3638.70568837593,38172.42,20.61005771,0,"Assis Brasil"
"196",1200054,2010,"assis brasil","AC",37.848,"Norte",NA,5559,6046.77100197877,54477.12,0,0,"Assis Brasil"
"197",1200054,2014,"assis brasil","AC",48.16,"Norte",NA,6308,8371.19,62860.22,15.85288523,0,"Assis Brasil"
"198",1200054,2018,"assis brasil","AC",41.57,"Norte",NA,6863,12134.14,75037.43,29.14177473,0,"Assis Brasil"
"199",1200104,2006,"brasileia","AC",53.143,"Norte",NA,16940,4996.34002361275,182998.43,17.70956316,0,"Brasileia"
"200",1200104,2010,"brasileia","AC",28.242,"Norte",NA,19829,6824.14645216602,219302.27,15.12935599,0,"Brasileia"
"201",1200104,2014,"brasileia","AC",39.26,"Norte",NA,22261,10722.98,284158.44,17.96864471,0,"Brasileia"
